Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5a,Q5b,Q6,Q7,Q8,Q9,Q10,Q11,Q11a,Q11b,Q12,Q12a,Q12b,Q13,Q14,15,16,17,18,19,20,21,22,23,24,25,26,27,27_9_TEXT,28,28_8_TEXT,29,30,Q31,Q3 - Parent Topics,Q3 - Topics,Q4 - Topics,Q4 - Parent Topics,Q13 - Parent Topics,Q13 - Topics,27_9_TEXT - Parent Topics,27_9_TEXT - Topics,28_8_TEXT - Topics,28_8_TEXT - Parent Topics,Q31 - Topics,Q31 - Parent Topics
Progress,Duration (in seconds),Finished,Response ID,User Language,Are you,Please tell us your age,What country do you currently live in?,Which city do you currently live in?,"What kind of Connected and/or Automated Vehicle
  (CAV) have you tried before?","Were you a passenger or/and a driver in the Connected and
  Automated Vehicle (CAV)?",How many times have you ever used a CAV?,How confident are you with CAVs?,Do you have a full driving license?,How long have you owned a full driving license?,What educational level do you have? Please choose the highest educational qualification you have achieved so far.,What is your monthly net income approximately?,Which is your current main occupation?,"How often did you travel to work or to your
  place of education prior to the COVID-19 pandemic?","What was the average once-way distance for this
  trip?",Do you regularly use a smartphone or a computer?,"In case you have answered ""yes"" to the question above, how long have you been using it?",Do you use one or several of the following applications?,Which type of  shared connected vehicle did you try?,Which was the level of automation of the vehicle?,How did you feel while traveling in a CAV?,Was using a CAV the experience you had anticipated?,Was the trip comfortable compared with a conventional vehicle?,"How well do you think that the self-driving car performed regarding steering, acceleration, brake?",How do you describe the self-driving car reactions?,Which was your reaction to the car manouvers?,How difficult did you find it to book and access the shared connected vehicle?,How difficult and stressful was to use the shared connected vehicle?,How difficult and stressful was to return the shared connected vehicle?,"After this experience, would you use a shared connected vehicle for your daily trips?",Would you encourage your family or friends to use shared connected vehicles?,Would you pay a higher price for a shared vehicle with autonomous features?,Which potential  benefits do you see in using a shared fleet composed of CAVs? - Selected Choice,Which potential  benefits do you see in using a shared fleet composed of CAVs? - Other (please specify): - Text,Which potential  shortcomings  do you see about using a shared fleet composed of CAVs? - Selected Choice,Which potential  shortcomings  do you see about using a shared fleet composed of CAVs? - Other (please specify): - Text,"If a shared fleet composed of CAVs were available, I would use them.",Please imagine that large sections of the population would use shared fleets of CAVs. To what degree do the following statements apply to you?,Do you have any additional comments or suggestions?,Q3 - Parent Topics,Q3 - Topics,Q4 - Topics,Q4 - Parent Topics,Q13 - Parent Topics,Q13 - Topics,27_9_TEXT - Parent Topics,27_9_TEXT - Topics,28_8_TEXT - Topics,28_8_TEXT - Parent Topics,Q31 - Topics,Q31 - Parent Topics
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_9_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_8_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID12_TEXT_70585aba_9qsy5lchuv8xParTopics""}","{""ImportId"":""QID12_TEXT_70585aba_j9envdusowtkTopics""}","{""ImportId"":""QID13_TEXT_70585aba_fw0s4z25vwl0Topics""}","{""ImportId"":""QID13_TEXT_70585aba_upzwlq78x7m2ParTopics""}","{""ImportId"":""QID28_TEXT_70585aba_1j8lrwdxasrmParTopics""}","{""ImportId"":""QID28_TEXT_70585aba_3uwuaht8tfliTopics""}","{""ImportId"":""QID42_9_TEXT_70585aba_ctkpunirjdg7ParTopics""}","{""ImportId"":""QID42_9_TEXT_70585aba_skzw57yz6hzyTopics""}","{""ImportId"":""QID43_8_TEXT_70585aba_ccjm9zy6p00bTopics""}","{""ImportId"":""QID43_8_TEXT_70585aba_j55coi59fuyqParTopics""}","{""ImportId"":""QID46_TEXT_70585aba_btisiueuzdtsTopics""}","{""ImportId"":""QID46_TEXT_70585aba_kpjitqcc2wqmParTopics""}"
100,308,1,R_2OZUfpa19AHVfTq,FR,2,42,Luxembourg,Hesperange ,"11,12,13,14,16,17",3,4,3,"1,2,3",5,8,5,2,3,1,1,4,"1,2,3",Tesla,3,"1,4,6",1,3,2,"1,3",2,4,3,3,1,1,3,"1,2,4",,"1,6",,1,2,,,,,,,,,,,,,
100,170569,1,R_26ezvyFreDE1PY5,DE,1,30,Luxembourg,Meispelt,"1,12,14,15,16,17",1,1,2,2,4,8,4,2,4,3,1,4,"1,3",Tesla,1,2,3,3,4,3,2,4,2,2,3,3,4,2,,6,,3,1,,,,,,,,,,,,,
100,455,1,R_NXPWmeLeCKRTVpD,EN-GB,2,29,Luxemburg,Esch sur alzette,"1,11,12,13",3,4,3,2,4,8,4,2,4,2,1,4,"1,2,3",Car,2,6,1,1,4,3,2,4,4,4,1,1,1,"3,5,6,7",,"1,3,6",,1,3,,,,,,,,,,,,,
100,780,1,R_22rGDTtLhTGKT6K,DE,1,27,Luxemburg,Rumelange,"1,11,13,14,15,16",3,5,2,3,3,8,4,6,1,2,1,4,"1,3",Keins aus einer gemeinsamen Flotte,3,"2,3,5,7",3,2,3,"4,5",3,3,3,3,2,2,4,7,,"1,5,6",,3,1,"Dieser Fragebogen ist leider oft unklar, die Antwortoptionen sind nicht ausgewogen wie zB bei der Frage 29 (2 positive, 1 negative, keine neutrale), ich muss auch Frage 27 beantworten obwohl ich keinen Vorteil sehe... somit ermöglicht der Fragebogen keine genaue Meinungswiedergabe.",,,,,,,,,,,,
100,530,1,R_33a9zp3NxCd76dQ,EN-GB,1,30,Luxembourg ,Esch sur alzette,"1,11,13,14",1,4,3,2,2,8,4,2,3,3,1,4,"1,2,3","Bus, train",1,"2,4,6",3,1,3,3,3,3,3,3,3,3,2,"1,2,3,4,6",,"4,5,6",,1,1,,,,,,,,,,,,,
100,487,1,R_2sZUfPxC58cpDp7,EN-GB,2,25,Luxembourg,Roeser,"1,12,14,15",2,1,3,2,2,8,4,2,4,3,1,4,"1,2,3",Mercedes EQC 400,"2,4","2,4",3,2,3,3,2,3,3,4,3,3,2,5,,6,,1,2,,,,,,,,,,,,,
100,273,1,R_3QQb5G6wTHMho6n,FR,2,36,Luxembourg,Esch sur alzette,"11,12,15",1,3,2,2,2,8,3,1,3,1,1,2,"1,2",EQC ,1,3,1,3,4,4,3,4,3,3,1,1,2,1,,6,,1,3,,,,,,,,,,,,,
100,1182,1,R_1mlnERdixhihxvL,EN-GB,2,34,Luxembourg,Mamer,"1,11,12,14,15,16",3,3,4,3,4,8,5,2,4,1,1,4,"1,2,3",Tcross ,"2,3","4,6",3,3,2,2,1,3,3,3,1,1,2,"1,6",,6,,1,3,,,,,,,,,,,,,
