Progress,Duration (in seconds),Finished,ResponseId,RecipientLastName,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5a,Q5b,Q6,Q7,Q8,Q9,Q10,Q11,Q11a,Q11b,12,Q12a,Q12b,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q24_10_TEXT,Q25,Q25_8_TEXT,Q26,Q27,Q28
Progress,Duration (in seconds),Finished,Response ID,Recipient Last Name,User Language,Are you,Please tell us your age,What country do you currently live in?,Which city do you currently live in?,"What kind of Connected and/or Automated Vehicle
  (CAV) have you tried before?","Were you a passenger or/and a driver in the Connected and
  Automated Vehicle (CAV)?",How many times have you ever used a CAV?,How confident are you with CAVs?,Do you have a full driving license?,How long have you owned a full driving license?,What educational level do you have? Please choose the highest educational qualification you have achieved so far.,What is your monthly net income approximately?,Which is your current main occupation?,"How often did you travel to work or to your place
  of education prior to the COVID-19 pandemic?","What was the average once-way distance for this
  trip?",Do you regularly use a smartphone or a computer?,"In case you have answered ""yes"" to the question above, how long have you been using it?",Do you use one or several of the following applications?,Which type of  shared connected vehicle did you try?,Which was the level of automation of the vehicle?,How did you feel while traveling in a CAV?,Was using a CAV the experience you had anticipated?,Was the trip comfortable compared with a conventional vehicle?,"How well do you think that the self-driving vehicle performed regarding steering, acceleration and braking?",How do you describe the self-driving vehicle reactions?,How difficult did you find it to access the shared connected vehicle?,"After this experience, would you use a shared connected vehicle for your daily trips?",Would you encourage your family or friends to use shared connected vehicles?,Would you pay a higher price for a shared vehicle with autonomous features?,Which potential  benefits do you see in using a shared fleet composed of CAVs? - Selected Choice,Which potential  benefits do you see in using a shared fleet composed of CAVs? - Other (please specify): - Text,Which potential  shortcomings  do you see in using a shared fleet composed of CAVs? - Selected Choice,Which potential  shortcomings  do you see in using a shared fleet composed of CAVs? - Other (please specify): - Text,"If CAVs were available, I would use them.",Please imagine that large sections of the population would use CAVs. To what degree do the following statements apply to you?,Do you have any additional comments or suggestions?
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID44""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_10_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_8_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}"
100,676,1,R_1ruhCmJEpDu9NCi,,FR,1,36,Luxembourg ,Pétange ,"1,3,5,6,7,8",1,4,2,2,4,8,3,2,3,2,1,,,Je ne sais pas,1,"2,3,6,7",2,2,3,2,4,3,3,3,"6,7",,"7,3",,4,3,
100,310,1,R_1LpcecIiXNBekm7,,FR,2,43,Luxembourg ,Luxembourg ,"1,2,3,4,5,6,7,8",1,3,4,2,5,8,7,2,4,2,1,,,Bus autonome ,4,1,1,1,1,1,4,3,1,2,"1,2,3",,"2,3",,1,2,
100,1054,1,R_cHk8lG1mTohM94l,,FR,1,25,France,Metz,"1,2,3,4,5,6,7,8",3,5,4,2,3,8,4,2,4,4,1,,,Tesla s,"2,3,4","1,2,4,5,6",1,2,4,2,3,1,1,3,"2,3,4,5,6,7,10",Pas de frais de maintenance ,"3,5",,1,"2,3",
100,1617,1,R_3fkrhAi9goWQgye,,DE,2,36,Luxemburg,Bridel,"1,2,4,5,6,7,8",1,3,4,2,5,8,5,2,3,3,1,,,autonomes Shuttle,4,"1,6",3,1,1,"1,2",4,1,1,2,"1,2,3,4,6,7,8",,5,,1,2,
100,863,1,R_1dj1HFPRfhNPvmC,,FR,2,36,luxembourg,Rodange ,"1,3,4,7,8",3,5,4,2,4,6,5,2,4,2,1,,,KIA ,1,1,1,1,4,1,4,1,1,2,"1,4,7",,6,,1,3,
100,833,1,R_4HHSC9fBMMEXdcZ,,FR,2,35,Luxembourg,SCHIFFLANGE,"1,6,7,8",2,4,3,2,5,6,4,2,4,3,1,,,Mercedes-Benz,"2,3",1,1,3,4,2,3,3,3,2,"4,7,8",,"2,3,5",,1,1,
100,618,1,R_2a9cjALUNG97KhC,,FR,2,38,France,Thionville,"1,6,7,8",2,4,3,"1,2,3,4",5,6,7,2,3,4,1,,,Voiture,"2,3",2,1,1,4,3,4,3,3,3,5,,6,,1,2,
100,645,1,R_2UYgfTaGSUBiVn1,,FR,2,34,Luxembourg,Esch-sur-Alzette,"6,7",3,3,2,"3,4",5,6,7,2,4,2,1,,,Polestar 2,"2,3,4","2,6",1,1,4,2,3,4,4,3,"2,7,8",,6,,1,2,
